feature_id,area,surface,feature,source_evidence,user_story,expected_behavior,status,last_tested,test_command,observed_behavior,error_id,fix_commit,retest_status,notes
CORE-001,Core API,HTTP,Server health check,docs/api-reference/openapi.json operationId=healthCheck; core/src/server/app.ts,"As an operator, I want to check whether the local PMXT server is alive so that I can route traffic only to healthy instances.",GET /health returns a successful health payload without exchange credentials.,tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand,Health endpoint test passed: GET /health returns status ok and remains public without auth.,,,pass,
CORE-002,Core API,HTTP,Load markets cache,docs/api-reference/openapi.json operationId=loadMarkets; core/src/BaseExchange.ts:585,"As a developer, I want to load and cache markets from an exchange so that repeated iteration does not drift across API calls.",POST /api/{exchange}/loadMarkets loads all markets into markets and marketsBySlug and returns the cached map on later calls unless reload is requested.,tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/core-helper-routes.test.ts,"BaseExchange loadMarkets cache test passed for MockExchange, including id/slug reuse through fetchMarket. HTTP route test passed: POST /api/mock/loadMarkets returns a market map keyed by market id after reload.",,,pass,
CORE-003,Core API,HTTP,Fetch markets,docs/api-reference/openapi.json operationId=fetchMarkets; core/src/BaseExchange.ts:628,"As a market-data user, I want to fetch live markets with filters so that I can discover current tradable questions.","GET /api/{exchange}/fetchMarkets accepts filters such as query, limit, status, slug, marketId, outcomeId, eventId, category, tags, sourceExchange, and returns live UnifiedMarket rows.",fixed_retest_pass,2026-06-23,RED/GREEN: npm test --workspace=pmxt-core -- --runInBand core/test/unit/mockExchange.core.test.ts core/test/pipeline/http-route-regressions.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand; RED: npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts; GREEN: npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts test/pipeline/get-post-parity.test.ts test/unit/baseExchange.core.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand,"Retest caught mock fetchMarkets ignoring documented slug, outcomeId, status, sourceExchange, and exchange-alias filters and single-tag GET queries. After fix, HTTP route coverage passes for marketId, slug, outcomeId, eventId, category, tags, sourceExchange, missing source, and closed-status filters; full core suite passed. Current main later regressed this route/mock behavior; core/test/unit/mockExchange.core.test.ts and core/test/pipeline/http-route-regressions.test.ts caught the drift, and c5253f2 restored mock filters, app-local exchange/router overrides, fetchTrades date normalization, single tags query normalization, and HTTP fetchSeries empty-array behavior. Latest verification passed TypeScript and full core Jest (715 passed, 3 skipped).",CORE-FILTERS-001; CORE-HTTP-REGRESSION-001,a45fcf1; c5253f2,pass,Debugging note saved to docs/knowledge/debugging/2026-06-22-pmxt-market-event-filter-fix.md. Current main route/mock behavior is covered by the consolidated HTTP regression test.
CORE-004,Core API,HTTP,Fetch markets paginated,docs/api-reference/openapi.json operationId=fetchMarketsPaginated; core/src/BaseExchange.ts:673,"As a market-data user, I want stable market pagination so that I can page through a snapshot without result drift.","GET /api/{exchange}/fetchMarketsPaginated creates or reuses an in-memory snapshot, returns data, total, and nextCursor, and slices later pages from the same snapshot.",tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts,BaseExchange direct and HTTP route tests passed: fetchMarketsPaginated returns stable cursor pages with total count and sequential mock market ids across pages.,,,pass,
CORE-005,Core API,HTTP,Fetch events paginated,docs/api-reference/openapi.json operationId=fetchEventsPaginated; core/src/BaseExchange.ts:743,"As a market-data user, I want stable event pagination so that event pages stay consistent while I browse.","GET /api/{exchange}/fetchEventsPaginated creates or reuses an event snapshot and returns data, total, and nextCursor.",tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts,BaseExchange direct and HTTP route tests passed: fetchEventsPaginated returns stable cursor pages with total count and sequential mock event ids across pages.,,,pass,
CORE-006,Core API,HTTP,Fetch events,docs/api-reference/openapi.json operationId=fetchEvents; core/src/BaseExchange.ts:809,"As a market-data user, I want to fetch events with optional search so that I can browse grouped markets.","GET /api/{exchange}/fetchEvents returns UnifiedEvent rows and supports filters including query, limit, status, eventId, slug, series, category, tags, and sourceExchange.",fixed_retest_pass,2026-06-23,RED/GREEN: npm test --workspace=pmxt-core -- --runInBand core/test/unit/mockExchange.core.test.ts core/test/pipeline/http-route-regressions.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand; RED: npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts; GREEN: npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts test/pipeline/get-post-parity.test.ts test/unit/baseExchange.core.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand,"Retest caught mock fetchEvents ignoring documented slug, series, status, sourceExchange, and exchange-alias filters and single-tag GET queries. After fix, HTTP route coverage passes for eventId, slug, category, tags, sourceExchange, missing series, and closed-status filters; full core suite passed. Current main later regressed this route/mock behavior; core/test/unit/mockExchange.core.test.ts and core/test/pipeline/http-route-regressions.test.ts caught the drift, and c5253f2 restored mock filters, app-local exchange/router overrides, fetchTrades date normalization, single tags query normalization, and HTTP fetchSeries empty-array behavior. Latest verification passed TypeScript and full core Jest (715 passed, 3 skipped).",CORE-FILTERS-001; CORE-HTTP-REGRESSION-001,a45fcf1; c5253f2,pass,Debugging note saved to docs/knowledge/debugging/2026-06-22-pmxt-market-event-filter-fix.md. Current main route/mock behavior is covered by the consolidated HTTP regression test.
CORE-007,Core API,HTTP,Fetch series,docs/api-reference/openapi.json operationId=fetchSeries; core/src/BaseExchange.ts:842,"As a market-data user, I want to fetch recurring series when venues expose them so that I can navigate the Series to Event to Market hierarchy.",GET /api/{exchange}/fetchSeries returns venue series for supported venues and an empty array for venues without a series concept.,fixed_retest_pass,2026-06-23,RED/GREEN: npm test --workspace=pmxt-core -- --runInBand core/test/unit/mockExchange.core.test.ts core/test/pipeline/http-route-regressions.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand; npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts; npm test --workspace=pmxt-core -- --runInBand,"Direct BaseExchange fallback test passed and HTTP retest passed after fix: GET /api/mock/fetchSeries now returns [] for a venue without a series concept instead of 501. Current main later regressed this route/mock behavior; core/test/unit/mockExchange.core.test.ts and core/test/pipeline/http-route-regressions.test.ts caught the drift, and c5253f2 restored mock filters, app-local exchange/router overrides, fetchTrades date normalization, single tags query normalization, and HTTP fetchSeries empty-array behavior. Latest verification passed TypeScript and full core Jest (715 passed, 3 skipped).",CORE-SERIES-001; CORE-HTTP-REGRESSION-001,de0d6a6; c5253f2,pass,Debugging note saved to docs/knowledge/debugging/2026-06-22-pmxt-fetchseries-http-empty-fallback.md. Current main route/mock behavior is covered by the consolidated HTTP regression test.
CORE-008,Core API,HTTP,Fetch single market,docs/api-reference/openapi.json operationId=fetchMarket; core/src/BaseExchange.ts:857,"As a developer, I want a single-market lookup so that I do not have to filter arrays myself.",GET /api/{exchange}/fetchMarket wraps fetchMarkets and returns exactly one UnifiedMarket or throws MarketNotFound when no match exists.,tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts,BaseExchange direct tests passed for id and slug cache lookup plus MarketNotFound. HTTP route test passed: GET /api/mock/fetchMarket?marketId=mock-m1 returns the requested UnifiedMarket.,,,pass,
CORE-009,Core API,HTTP,Fetch single event,docs/api-reference/openapi.json operationId=fetchEvent; core/src/BaseExchange.ts:957,"As a developer, I want a single-event lookup so that I can load one grouped event by id, slug, or query.",GET /api/{exchange}/fetchEvent wraps fetchEvents and returns exactly one UnifiedEvent or throws EventNotFound when no match exists.,tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/unit/baseExchange.core.test.ts; npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts,BaseExchange direct tests passed for event id lookup plus EventNotFound. HTTP route test passed: GET /api/mock/fetchEvent?eventId=mock-event-0 returns the requested UnifiedEvent with grouped markets.,,,pass,
CORE-010,Core API,HTTP,Fetch OHLCV candles,docs/api-reference/openapi.json operationId=fetchOHLCV; core/src/BaseExchange.ts:977,"As a charting user, I want OHLCV candles for an outcome so that I can plot historical price movement.","GET /api/{exchange}/fetchOHLCV returns PriceCandle rows for an outcome using a required resolution plus optional start, end, and limit.",tested_pass,2026-06-22,npm test --workspace=pmxt-core -- --runInBand test/pipeline/market-http-routes.test.ts test/pipeline/get-post-parity.test.ts; npx tsc --project core/tsconfig.json --noEmit; npm test --workspace=pmxt-core -- --runInBand,"HTTP route tests passed for PriceCandle rows with required resolution, ISO start/end query coercion, exact 1h timestamps, limit=3, and candle field sanity. GET/POST parity also passed for resolution=1h, limit=5, and date-time start/end coercion; full core suite passed.",,,pass,
